id,name,province,city,district,address,phone,geo_lat,geo_lng,google_map_id,gaode_map_id,place_id,map_type
12,保定京津医院,河北省,保定市,唐县,中山北大街28号,0312-7551940,114.992841,38.758778,ChIJu3KT921d5TURciK796OociY,B013803GPE,B013803GPE,gaode
13,保定牡丹妇婴医院,河北省,保定市,莲池区,东风东路335号,0312-6796666;18633205622,115.516924,38.865588,ChIJway-yH6F5TURawWk_S-T2m0,B013803AU8,B013803AU8,gaode
14,保定世纪协和医院,河北省,保定市,莲池区,裕华西路666号,0312-2012222;0312-5918111,115.484515,38.8602,ChIJ-4K4nPqP5TURUodxNBxHHQU,B013800F9I,B013800F9I,gaode
15,保定现代女子医院,河北省,保定市,竞秀区,七一西路555号(竞秀公园西行),0312-5957777,115.457214,38.882481,ChIJV-u2Y6Sa5TURjY9_FdG644E,B013800K1C,B013800K1C,gaode
16,北京艾丽斯妇科医院,北京市,北京市,海淀区,北四环西路9号,010-88565656;010-62800867,116.334853,39.987199,ChIJTVVScQZU8DURxkNQntNPIgk,B000A87FLV,B000A87FLV,gaode
17,北京宝岛妇产医院,北京市,北京市,海淀区,新街口外大街1号,010-62006666;4006100120,116.369475,39.967203,ChIJOw3-U4JT8DURQyjh6XzAaQI,B000A8X5CW,B000A8X5CW,gaode
18,北京北海医院,北京市,北京市,东城区,地安门外大街甲158号,010-64032828;010-64019060;4006783451,116.396699,39.935033,ChIJmVdpDyJT8DUR7KymsuRbOR0,B000A374ED,B000A374ED,gaode
19,北京大学吴阶平泌尿外科医学中心,北京市,北京市,石景山区,晋元庄路9号院,010-56278877;010-68294978,116.203156,39.928332,ChIJjyQ-7zlF8DURyL8Egjl-Iog,B000A879UH,B000A879UH,gaode
20,北京德胜门中医院,北京市,北京市,西城区,德胜门外大街200号(德胜门箭楼东北角),010-84044848;010-57175152,116.380156,39.952177,ChIJA8Xr0QxT8DURT5P-ukWjoJc,B000A835WY,B000A835WY,gaode
21,北京东大肛肠医院,北京市,北京市,朝阳区,东大桥路5号(蓝岛大厦南侧),010-85619199;010-85639299,116.449382,39.921855,ChIJDcFbCeSs8TURraEySqgELUE,B000A3A2E7,B000A3A2E7,gaode
22,北京丰益肛肠医院,北京市,北京市,丰台区,西三环丰益桥西100米,010-52227272;010-52227999;18911407357,116.313891,39.857759,ChIJ8SIC8JlO8DUR9-7rUNTmb2Y,B000A80LD8,B000A80LD8,gaode
23,北京凤凰妇科医院,北京市,北京市,朝阳区,将台西路18号,010-84560052;010-84568003,116.487599,39.971221,ChIJcWHR8Lir8TURhtvg5eNtf78,B0FFF3MB61,B0FFF3MB61,gaode
24,北京肛肠医院,北京市,北京市,丰台区,西三环丰益桥西100米,010-52227272;010-52227999;18911407357,116.313891,39.857759,ChIJgU0-_XBT8DURKOLyG4t2XDQ,B000A80LD8,B000A80LD8,gaode
25,北京国际医疗中心,北京市,北京市,朝阳区,亮马桥路50号燕莎中心办公楼(近燕莎友谊商城),010-64651561,116.465893,39.949843,ChIJZ0GjT4Cs8TURBZjbMAS1LuM,B000A74B38,B000A74B38,gaode
26,北京海华医院,北京市,北京市,丰台区,育菲园东里4号,010-63772222;010-63772399,116.321651,39.847214,ChIJOYPrJ6FO8DURzlfg6Lipqlk,B000A85JLM,B000A85JLM,gaode
27,北京海军总医院,北京市,北京市,海淀区,阜成路6号,010-88999899;010-66958114;010-88018688,116.324031,39.921989,ChIJOYAzf_ZR8DURZn05hF9UZKQ,B000A8VNNJ,B000A8VNNJ,gaode
28,北京恒安中医院,北京市,北京市,朝阳区,南磨房路14号院2,010-67300912;010-67320389,116.479124,39.883613,ChIJf_SWmJCt8TUR_q_jwA64b20,B000A7FBYE,B000A7FBYE,gaode
29,北京华大中医院,北京市,北京市,朝阳区,劲松中街405号,010-62322888;010-87798566;010-56156282,116.455569,39.882737,ChIJeRIBIHut8TUREMEyadf-bp0,B000A9V4Z1,B000A9V4Z1,gaode
30,北京华府妇儿医院,北京市,北京市,朝阳区,百子湾南二路18号,010-50951111;010-50951120,116.491763,39.896802,ChIJ__a8Asit8TURlk7Q6XSHpj4,B0FFFAHY9A,B0FFFAHY9A,gaode
31,北京华美美莱整形医院,北京市,北京市,朝阳区,朝阳门外大街227号美莱大厦,010-56935555;010-56935488;4008980000,116.441576,39.924782,,B000A8ZN8T,B000A8ZN8T,gaode
32,北京华医中西医结合皮肤病医院,北京市,北京市,海淀区,西四环北路29号(四季青政府向北侧),010-68685858,116.274945,39.955468,ChIJF9DH9lRQ8DUR2vqw7fSTRpc,B000A8W8FS,B000A8W8FS,gaode
33,北京慧慈医院,北京市,北京市,平谷区,新开街7号,010-69976333;010-69961996,117.122257,40.1422,ChIJAWnIGfdg8TURf9OhCwhA0O4,B000A5655C,B000A5655C,gaode
34,北京慧中医院,北京市,北京市,朝阳区,建华南路6号地杰长安驿B座31层(乘坐地铁一号线到永安里站下车C口出西行400米),010-65662528,116.444927,39.90716,,B0FFF2VYBV,B0FFF2VYBV,gaode
35,北京建国医院,北京市,北京市,朝阳区,西大望路2号,010-65856606,116.478277,39.914616,ChIJhciE_FGs8TURVuhhGZqVyXw,B000A7BFC6,B000A7BFC6,gaode
36,北京健宫医院,北京市,北京市,西城区,菜市口南大街儒福里6号,010-83521777;010-63532299,116.375751,39.880918,ChIJVc2otXVN8DURWlVNtdM5n0k,B000A7HWMR,B000A7HWMR,gaode
37,北京京北医院,北京市,北京市,海淀区,龙岗路6号(清河桥东),010-62991999;010-62905150,116.350116,40.029304,ChIJ8aIf9bhV8DURhwc3oAIE1Pc,B000A07FB1,B000A07FB1,gaode
38,北京京城皮肤病医院,北京市,北京市,朝阳区,北沙滩桥北双泉堡甲4号,010-83838389;010-64888999,116.36546,40.008575,ChIJkeI2WFFU8DURxK_B2j-Wc48,B000A805XC,B000A805XC,gaode
39,北京军都医院,北京市,北京市,西城区,德胜门外黄寺大街乙25号,010-82960408;010-82960452;4000600890,116.382538,39.96312,ChIJXfg16HpT8DUR4L7Jr-ZpfOY,B000A80YTH,B000A80YTH,gaode
40,北京丽都医疗美容医院,北京市,北京市,朝阳区,慧忠北里103号洛克时代中心,010-58396898;010-58396888;4000007070,116.407289,40.001686,ChIJ6SQUL9hU8DURudpTqAJ3y4E,B000A87FZ8,B000A87FZ8,gaode
41,北京玛丽妇婴医院,北京市,北京市,朝阳区,和平里北街5号(东土城路北口),010-64272076;010-64216666,116.431,39.959839,ChIJv0-J9ler8TURh_ecool4JLk,B000A7JMKW,B000A7JMKW,gaode
42,北京麦瑞骨科医院,北京市,北京市,朝阳区,北苑路甲1号,010-64479999;010-64479913,116.418567,40.023324,ChIJq8kJT0tV8DURmiEQVzv5Cm8,B000A87FTC,B000A87FTC,gaode
43,北京美联臣医疗美容医院,北京市,北京市,朝阳区,东三环南路乙52-2号,010-87729730;010-87728888,116.462098,39.88708,ChIJjdf5HnSt8TURceq8sHpp-KE,B000A84ZOG,B000A84ZOG,gaode
44,北京民众体检中心,北京市,北京市,朝阳区,外馆东街51号凯景铭座3层301号,010-64408928;010-64408788;18600773547,116.403529,39.962323,ChIJR7zEE1lT8DURl9gBatfymOI,B000A7Z3ZY,B000A7Z3ZY,gaode
45,北京民众眼科医院,北京市,北京市,朝阳区,林萃西里22号(近科荟路),010-82727552;010-82726600,116.371733,40.012111,ChIJjwU3rKpV8DURtU0B1xSnoUo,B000A83FQ0,B000A83FQ0,gaode
46,北京年轮骨科医院,北京市,北京市,朝阳区,八里庄北里88号,010-59101155;4006666120,116.495091,39.922008,ChIJBXjIYCqv8TURDk5sYAtPMaM,B0FFF2SI7Y,B0FFF2SI7Y,gaode
47,北京前海股骨头医院,北京市,北京市,西城区,地安门西大街丙28号,010-66551166;4006655166,116.385172,39.932927,ChIJl1ZpTh1T8DURORzxmzx17T4,B000A7Z17U,B000A7Z17U,gaode
48,北京瑞京糖尿病医院,北京市,北京市,丰台区,石榴庄南里15号,010-88229999,116.415146,39.844383,ChIJq_GYoe2y8TURaf8lSryGegQ,B0FFGMW2G8,B0FFGMW2G8,gaode
49,北京圣保罗男子医院,北京市,北京市,朝阳区,北京市朝阳区东三环南路乙52楼,+86 10 6772 7772,116.462118,39.887222,ChIJP3Ki4Hat8TURFr9XWSZ3vWE,,ChIJP3Ki4Hat8TURFr9XWSZ3vWE,google
50,北京圣贝国际牙科,北京市,北京市,朝阳区,南磨房路16号院甲2号,010-81581999,116.476902,39.883054,ChIJCwbZ9Jqt8TURUY6JJWUrRlA,B000A8WEMP,B000A8WEMP,gaode
51,北京天安中医医院,北京市,北京市,东城区,和平里中街31号,010-56943988,116.416562,39.957439,ChIJ57yOeFNT8DUR27q124a7NT0,B000AA7KH8,B000AA7KH8,gaode
52,北京天伦不孕不育医院,北京市,北京市,朝阳区,朝阳门南大街12号,010-85631116,116.4357,39.918447,ChIJiUmKPyet8TURFUUr_RQcEaM,B000A3D74A,B000A3D74A,gaode
53,北京天桥医院,北京市,北京市,西城区,西城区北纬路11号,+86 10 8313 4045,116.396433,39.883802,ChIJg40wmGdN8DURluQoxwPSoCo,,ChIJg40wmGdN8DURluQoxwPSoCo,google
54,北京天使儿童医院,北京市,北京市,朝阳区,广渠路大郊亭2号,010-61226161,116.492624,39.892835,ChIJ2-uonNqt8TUROuTLsrYo0Ok,B000ABCLP7,B000ABCLP7,gaode
55,北京五洲女子医院,北京市,北京市,朝阳区,朝阳区西大望路24号,+86 10 8776 9392,116.476807,39.892154,ChIJBeaq3KKt8TURlJU2OhfZSVk,,ChIJBeaq3KKt8TURlJU2OhfZSVk,google
56,北京武警总队第三医院,北京市,北京市,丰台区,小屯路10号,010-68692678;010-59063600,116.25381,39.886564,ChIJP576SXVP8DURh2JGpyNdPiw,B000A8VWDG,B000A8VWDG,gaode
57,北京西直河仁安医院,北京市,北京市,朝阳区,西直河村村委会南院,010-67367115;010-67367112,116.529977,39.844036,ChIJ1e8Zn-6x8TURjXz7qDWlamE,B0FFGK9B2A,B0FFGK9B2A,gaode
58,北京祥云京城皮肤病医院,北京市,北京市,丰台区,马家堡路69号院,010-56309999;010-56309888,116.37837,39.841907,ChIJZ_ZE9PNM8DURaIYWp4gcxXg,B000AA0IWX,B000AA0IWX,gaode
59,北京燕都医院,北京市,北京市,石景山区,鲁谷大街重兴嘉园1号楼,010-82786455;010-88730120;4006628228,116.229563,39.892316,ChIJpTW5GoBF8DUR39PS6lQWq6k,B000A9Q3VB,B000A9Q3VB,gaode
60,北京阳光丽人妇科医院,北京市,北京市,西城区,赵登禹路富国街2号(近少年儿童活动中心),010-66167776,116.367325,39.931114,ChIJC6JBn1ZS8DUR5j2QD30wNkU,B0FFFW4869,B0FFFW4869,gaode
61,北京众安康中医骨科医院,北京市,北京市,朝阳区,北京市朝阳区八里庄87-89号,+86 10 5910 1111,116.494397,39.922711,ChIJ2ZjaXD6s8TURxTm2_qg6zH0,,ChIJ2ZjaXD6s8TURxTm2_qg6zH0,google
62,毕节现代医院,贵州省,毕节市,七星关区,砂石路1号,0857-8635555,105.286964,27.301868,ChIJg7oVIueQwTYR9Jaf4JBufEA,B03590PBTB,B03590PBTB,gaode
63,仓山东大门诊部,福建省,福州市,仓山区,福峡路城门卫生所附近,0591-83407999,119.360161,25.995484,,B024F05YTK,B024F05YTK,gaode
64,仓山橘园洲门诊部,福建省,福州市,仓山区,橘园洲工业区洪湾路35号,0591-83052988,119.244859,26.055882,ChIJqY2EyG9QQDQRjc31Su8wBxk,B024F059D3,B024F059D3,gaode
65,沧州九龙男科医院,河北省,沧州市,新华区,清池北大道附近,0317-5299999,116.868004,38.323824,ChIJ-13Bseq-7jURTFvUfjvxr9o,B0FFG58PCE,B0FFG58PCE,gaode
66,昌邑市博爱医院,山东省,潍坊市,昌邑市,天水路389号,0536-7128111,119.39845,36.845316,ChIJ1efBCEH_lDURMvtA9ZO0phc,B02180JZ6M,B02180JZ6M,gaode
67,常熟东方妇科医院,江苏省,苏州市,常熟市,枫林路151号,0512-51531111,120.74502,31.656709,ChIJQfVS8zLPszURCtVlsuR9vGg,B02000J4LO,B02000J4LO,gaode
68,常熟仁爱医院,江苏省,苏州市,常熟市,虞山镇虞山北路8号,0512-51533999,120.73905,31.65489,ChIJw78jFsvIszUR8jOAR-feats,B0FFF2EVHI,B0FFF2EVHI,gaode
69,巢湖康平妇产医院,安徽省,合肥市,巢湖市,团结东路新一中隔壁,0551-82355160;0551-82355666,117.882702,31.597901,ChIJgTGF6EsgyzURAmCQAgoELFo,B023502D1V,B023502D1V,gaode
70,巢湖市妇幼保健所,安徽省,合肥市,巢湖市,东风西路463号附近,,117.85662,31.598986,ChIJF1_7b0ogyzURnKUtosWgWrc,B0FFFYV1H3,B0FFFYV1H3,gaode
71,郴州福康医院,湖南省,郴州市,北湖区,国庆北路21号福康医院(汽车总站旁),0735-5555120;0735-2221576;18673459400,113.027244,25.805166,ChIJL7aWTuhHHjQRyOQFq8hYzUE,B02DF002QU,B02DF002QU,gaode
72,成都安琪儿妇产医院,四川省,成都市,武侯区,高攀路3号(毗邻机场路东沿线火车南站东路口),028-81922222;028-81219999;4006819222,104.080446,30.608089,ChIJeeyK-ZTF7zYRB799lsKbUME,B001C7WGD0,B001C7WGD0,gaode
73,成都博爱医院,四川省,成都市,锦江区,大慈寺路1号(东风大桥桥头),028-68999999;028-64656055,104.087717,30.6534,ChIJZ-QlJUPF7zYR2ra82VliFRE,B001C7RRE6,B001C7RRE6,gaode
74,成都博大男科医院,四川省,成都市,武侯区,逸都路1号附16号(伊藤洋华堂对面),4008729996,104.021021,30.644506,ChIJxT-5vo_E7zYRy7c0puiPjI0,B0FFF2I21M,B0FFF2I21M,gaode
75,成都博润白癜风医院,四川省,成都市,武侯区,佳灵路6号(红牌楼家乐福对面),028-88199999;18200495526,104.027906,30.633929,ChIJhbjcgorE7zYRvTQOLbSFzw8,B001C8TQO2,B001C8TQO2,gaode
76,成都东大肛肠医院,四川省,成都市,武侯区,科华北路1号,028-85030105,104.076566,30.633515,ChIJNbCzTQvF7zYR-XOqnle10c8,B001C7V2T9,B001C7V2T9,gaode
77,成都华美整形医院,四川省,成都市,武侯区,二环路南三段7号附1号,028-62988882;028-62988875,104.0595,30.62021,,B001C7WHJJ,B001C7WHJJ,gaode
78,成都丽人女子医院,四川省,成都市,青羊区,人民中路二段43号(骡马市太平洋百货对面),,104.066612,30.670129,ChIJS2vYFTLF7zYR5y3hrLLSfdY,B0FFG4HMZX,B0FFG4HMZX,gaode
79,成都龙都医院,四川省,成都市,龙泉驿区,龙都南路203号(近龙泉驿区公安局),028-84883911;028-84883811,104.266956,30.569169,ChIJ780dwqPM7zYRZXBPspWtN00,B001C8NNMT,B001C8NNMT,gaode
80,成都玛丽亚妇产医院,四川省,成都市,双流县,天府大道南段2039号(海昌极地海洋世界旁),028-85896666,104.075625,30.494459,ChIJ1St-DSnb7zYRHvzLujczQko,B0FFGEE3OF,B0FFGEE3OF,gaode
81,成都欧亚男科医院,四川省,成都市,青羊区,一环路西一段161号附8号,028-66599999;028-87030666;18780290535,104.041173,30.65357,ChIJh7eXDejE7zYR-Fi5UTnR9xA,B001C09IR2,B001C09IR2,gaode
82,成都郫县天康医院,四川省,成都市,郫县,岷江街16号,028-87855972;028-87855906,103.966526,30.752825,ChIJGzlAAkrc7zYR7Vu9pUo-zbo,B001C7XJZ8,B001C7XJZ8,gaode
83,成都仁品耳鼻喉医院,四川省,成都市,青羊区,青华路51号附12号,4000885191,104.023937,30.662033,ChIJWUkNBbzE7zYR0lGsCQosMzs,B001C80FF3,B001C80FF3,gaode
84,成都瑞恩糖尿病医院,四川省,成都市,青羊区,锣锅巷98号,028-86610000;4000669190,104.073274,30.668741,ChIJEfOvJTTF7zYRtUM9YZqYvcM,B001C7WOVP,B001C7WOVP,gaode
85,成都圣贝牙科医院,四川省,成都市,武侯区,桂溪西街60号,028-86060808,104.079056,30.601543,ChIJT-TISJfE7zYRuVDUZAVutHg,B0FFF2WVPU,B0FFF2WVPU,gaode
86,成都市济民女子医院,四川省,成都市,金牛区,成都市金牛区一环路北三段25号,,104.074643,30.685577,ChIJvQ-N0Mfa7zYRIeKGl72J-1Q,,ChIJvQ-N0Mfa7zYRIeKGl72J-1Q,google
87,成都市青羊区第二人民医院,四川省,成都市,青羊区,鼓楼北四街99号成都市青羊区第二人民医院内,,104.076693,30.670347,ChIJm9JdhjXF7zYRBTod3t6kvwI,B0FFGPUKLS,B0FFGPUKLS,gaode
88,成都市西区医院,四川省,成都市,金牛区,蜀汉路1号(二环路羊西线路口),028-87565120;028-87565060,104.030372,30.683061,ChIJ33LziTXb7zYReqSdlKdljus,B001C80TME,B001C80TME,gaode
89,成都蜀都乳腺医院,四川省,成都市,青羊区,八宝街130号(新城市广场斜对面),028-88155555,104.058425,30.672058,ChIJ5QfFmyvF7zYRxuJvWO_AjWQ,B001C7YEXZ,B001C7YEXZ,gaode
90,成都曙光生殖健康医院,四川省,成都市,青羊区,一环路宫十字路口(青羊横街15号),028-87792169,104.04035,30.65888,ChIJWSxcFsPE7zYRyqQQl-apdA8,B0FFGSSGHV,B0FFGSSGHV,gaode
91,成都维多利亚女子医院,四川省,成都市,武侯区,成都市武侯区一环路南一段27号,+86 28 8543 2999,104.080843,30.636141,ChIJ9z5asXPF7zYRRBN4Vpc431I,,ChIJ9z5asXPF7zYRRBN4Vpc431I,google
92,成都新世纪肛肠医院,四川省,成都市,金牛区,一环路北二段1号,028-83176998;028-83407463;13550227132,104.061107,30.686222,ChIJA3UlmdDa7zYRc1E4XmczsMA,B001C7YPXK,B001C7YPXK,gaode
93,成都阳光妇科医院,四川省,成都市,金堂县,淮口镇淮口镇淮州大道200号(金堂县淮口镇国土资源管理所西),028-84916120,104.56289,30.711649,ChIJcypI34vE7zYRezy7ozYSaQg,B0FFFX25B8,B0FFFX25B8,gaode
94,成都养和堂综合门诊部,四川省,成都市,青羊区,蜀都大道十二桥路30号,028-65779888,104.043615,30.664374,,B0FFGMGWRK,B0FFGMGWRK,gaode
95,成都永康医院,四川省,成都市,锦江区,莲花中路6号附82号(近牛市口),13540120393,104.099001,30.637426,ChIJwy7GhEnF7zYRwQFsuUiPB_U,B001C928UI,B001C928UI,gaode
96,成都长征医院,四川省,成都市,崇州市,金带街226-228号,028-82217120,103.66401,30.629911,ChIJWbTh1AHF7zYResddS3PJW-k,B001C7ZYNA,B001C7ZYNA,gaode
97,成都中仁泌尿外科医院,四川省,成都市,锦江区,一环路东四段79号,028-66755555,104.094648,30.648127,ChIJOztIr2DF7zYR3qGFwOpuofA,B0FFFW8OFJ,B0FFFW8OFJ,gaode
98,城阳坤如玛丽妇儿医院,山东省,青岛市,城阳区,艳阳路116号,0532-89085333;15053219972;4008515889,120.403868,36.319071,ChIJ239ofRpvljURjo46yls9aL0,B0FFFCNNM8,B0FFFCNNM8,gaode
99,赤峰阳光泌尿专科医院,内蒙古自治区,赤峰市,松山区,玉龙大街54号,0476-2880000,118.906273,42.266065,ChIJKatkJ7goH14R3mAeZvKInFU,B01DC0JKLS,B01DC0JKLS,gaode
100,重庆爱德华医院,重庆市,重庆市,沙坪坝区,天陈路27号,023-65346666;023-65366999,106.459144,29.552898,ChIJa0lZWsHL7DYRUcEWLl0Qgx0,B001796O0A,B001796O0A,gaode
101,重庆奥林肛肠医院,重庆市,重庆市,九龙坡区,兴隆湾144号,023-86378788;023-86079898;18623392376,106.507452,29.521517,ChIJJSRS6ObK7DYRRWrAQ_uvu2E,B00178ZWMF,B00178ZWMF,gaode
102,重庆东大肛肠医院,重庆市,重庆市,渝北区,新溉大道3号(新牌坊转盘),023-86889299;023-86889899;4000236702,106.521613,29.600908,ChIJBXL56MXM7DYRVwl9lj_regE,B00178368O,B00178368O,gaode
103,重庆都市俪人医院,重庆市,重庆市,渝北区,松石北路58号,023-67663999;023-67610300,106.505648,29.583642,ChIJN9mLiZnM7DYRoEmsOymCQnU,B001709YFR,B001709YFR,gaode
104,重庆肛泰肛肠医院,重庆市,重庆市,江北区,江北区邦兴·北都,,106.531294,29.572736,ChIJAQDwWqrM7DYRkCbNcZuX-V0,,ChIJAQDwWqrM7DYRkCbNcZuX-V0,google
105,重庆国宾妇产医院,重庆市,重庆市,渝中区,上清寺路39号,023-86899999;023-86899288;4008807669,106.544945,29.55806,ChIJ2cru2680kzYRf50Vn1DGWnA,B001785J3D,B001785J3D,gaode
106,重庆国防医院,重庆市,重庆市,南岸区,南滨西路1号,023-68619888,106.555487,29.498305,ChIJWx03_4UzkzYRUmRRSNtCaTE,B0FFFAFBI2,B0FFFAFBI2,gaode
107,重庆和睦医院,重庆市,重庆市,江北区,洋河三村5号中信银行大厦,023-67778041;023-67636763;4000320789,106.529067,29.58443,ChIJq4DDJ7LM7DYR3kHJZZz7RsA,B0FFGOYDW5,B0FFGOYDW5,gaode
108,重庆红楼医院,重庆市,重庆市,渝中区,长江二路39号附甲15号(近大黄路竞地花园),023-63638188;023-68716871;13788831002,106.523732,29.53979,ChIJNX1GnjrL7DYRdLCunK5ANfI,B00170241B,B00170241B,gaode
109,重庆红十字会医院,重庆市,重庆市,江北区,建新东路28号附5号,023-88915999,106.53951,29.57385,ChIJyfl2KLLM7DYRzHr-k8VWbHM,B001783THL,B001783THL,gaode
110,重庆华山医院,重庆市,重庆市,渝北区,"红锦大道21号(渝通宾馆对面,红旗河沟枢纽站旁)",,106.525166,29.58715,ChIJlyg9M7fM7DYRTF02yjy-Qe0,B0FFG2120U,B0FFG2120U,gaode
111,重庆坤如玛丽医院,重庆市,重庆市,九龙坡区,南华街777号,023-61560038;023-61560471;13638317111,106.485503,29.522429,ChIJp0OaxrDM7DYRZaIn7YtoQJU,B00178UJ4S,B00178UJ4S,gaode
112,重庆生殖健康医院,重庆市,重庆市,江北区,渝澳大道读书梁一村9号,023-89182998;023-89182806;18502326194,106.521235,29.580122,ChIJ_aiio6XM7DYRYrbC75qH878,B00170AD0F,B00170AD0F,gaode
113,重庆万州和美妇产医院,重庆市,重庆市,万州区,白岩路末端中庆花园1号,023-62501542;023-58723999;15223523981,108.36532,30.814394,ChIJJYtQTOxojjYRBhpnBK3BROU,B00178UZMT,B00178UZMT,gaode
114,重庆五洲女子医院,重庆市,重庆市,九龙坡区,谢家湾正街3号6幢,023-68816687;023-68812999;13652358957,106.514094,29.527805,ChIJYQzrhN_K7DYRfDeKUftkpZQ,B00170L9N4,B00170L9N4,gaode
115,重庆现代妇产医院,重庆市,重庆市,黔江区,重庆市黔江区新华大道东段718号,,108.798535,29.523209,ChIJGdV-tQUAkTYRuoBWci2W84c,,ChIJGdV-tQUAkTYRuoBWci2W84c,google
116,重庆现代女子医院,重庆市,重庆市,南岸区,南坪东路8号附5号,023-62908322;023-62901999;023-62808918,106.573004,29.529203,ChIJ-xI31-Q0kzYRSJbHaDo1Sys,B001709INT,B001709INT,gaode
117,重庆协和医院,重庆市,重庆市,九龙坡区,渝州路60号重庆协和医院内,,106.485796,29.532248,ChIJwUvZxarL7DYRxlNDlGbGvMk,B0FFGU5DXM,B0FFGU5DXM,gaode
118,重庆新桥医院,重庆市,重庆市,沙坪坝区,新桥正街183号,023-68755000;023-68755114;023-68755745,106.437774,29.522072,ChIJbzHnr4nJ7DYReAXY0gzcelE,B001702698,B001702698,gaode
119,重庆新视界眼科医院,重庆市,重庆市,九龙坡区,渝州路79号后工星座B楼,023-68158888;4000230202,106.496658,29.5356,ChIJ-YPlXwHL7DYRIjEKklUVvVI,B0FFFRGCQT,B0FFFRGCQT,gaode
120,重庆阳光医院,重庆市,重庆市,彭水苗族土家族自治县,汉关路79号,023-78491120;023-44819999,108.17379,29.294071,ChIJP16AA67M7DYR-nxtbdLsqDc,B00170IDZD,B00170IDZD,gaode
121,慈溪圣爱医院,浙江省,宁波市,慈溪市,新江路243号(三北西大街与新江路交叉口),0574-63916391;0574-66308019;4008629998,121.233733,30.177476,ChIJdyujeRY_TTQRgtlEzLVwTHQ,B023E100M3,B023E100M3,gaode
122,慈溪同济医院,浙江省,宁波市,慈溪市,浒崇公路80号(教场山汽车站旁),0574-63976699,121.243815,30.183693,ChIJnQmw7UY_TTQRR1n_k2GDXkQ,B023E06123,B023E06123,gaode
123,达州陆军医院,四川省,达州市,达川区,,4000658053,107.50275,31.19891,ChIJ0RRdfb1NjDYRxOKImhCNLQA,B0FFFF76SN,B0FFFF76SN,gaode
124,大港海港医院,天津市,天津市,滨海新区,育秀街137号,022-63229222;022-63219333,117.467524,38.836132,ChIJUUusge3B7TUR5-50OwnVk5U,B00160A3YC,B00160A3YC,gaode
125,大连武警医院,辽宁省,大连市,中山区,高原街35号,0411-82682795,121.668967,38.884143,ChIJsSiYFuOKhTURyardJ_AUqNM,B0FFG40YC1,B0FFG40YC1,gaode
126,大连新世纪医院,辽宁省,大连市,甘井子区,大连市甘井子区千山路60号,+86 411 8650 6565,121.590258,38.980679,ChIJtU2MxQRfjzUROWA8XKtGCMM,,ChIJtU2MxQRfjzUROWA8XKtGCMM,google
